First Name,Last Name,Street Name,Street Number,Postal Code,City,Country,Province
CHARLES,LastNameE,StreetNameE,StreetNumberD,PostalCodeF,CityF,Canada,ProvinceF
JOSEPH,LastNameD,StreetNameF,StreetNumberD,PostalCodeE,CityD,Canada,ProvinceF
MICHAEL,LastNameD,StreetNameF,StreetNumberF,PostalCodeE,CityF,Canada,ProvinceF
MICHAEL,LastNameE,StreetNameE,StreetNumberB,PostalCodeB,CityC,Canada,ProvinceD
MICHAEL,LastNameB,StreetNameB,StreetNumberF,PostalCodeE,CityC,Canada,ProvinceD
JOHN,LastNameB,StreetNameD,StreetNumberB,PostalCodeF,CityF,Canada,ProvinceC
RICHARD,LastNameF,StreetNameF,StreetNumberC,PostalCodeC,CityE,Canada,ProvinceE
WILLIAM,LastNameD,StreetNameD,StreetNumberD,PostalCodeD,CityD,Canada,ProvinceF
JOSEPH,LastNameB,StreetNameE,StreetNumberB,PostalCodeF,CityC,Canada,ProvinceB
DAVID,LastNameB,StreetNameF,StreetNumberE,PostalCodeC,CityC,Canada,ProvinceD
RICHARD,LastNameF,StreetNameE,StreetNumberC,PostalCodeB,CityE,Canada,ProvinceD
RICHARD,LastNameE,StreetNameB,StreetNumberF,PostalCodeC,CityE,Canada,ProvinceD
JOSEPH,LastNameE,StreetNameE,StreetNumberB,PostalCodeD,CityD,Canada,ProvinceB
RICHARD,LastNameD,StreetNameC,StreetNumberD,PostalCodeC,CityF,Canada,ProvinceB
MICHAEL,LastNameE,StreetNameF,StreetNumberB,PostalCodeE,CityD,Canada,ProvinceB
WILLIAM,LastNameD,StreetNameE,StreetNumberC,PostalCodeF,CityD,Canada,ProvinceB
WILLIAM,LastNameB,StreetNameC,StreetNumberE,PostalCodeD,CityF,Canada,ProvinceB
WILLIAM,LastNameB,StreetNameE,StreetNumberD,PostalCodeE,CityB,Canada,ProvinceF
MICHAEL,LastNameC,StreetNameD,StreetNumberB,PostalCodeE,CityD,Canada,ProvinceD
CHARLES,LastNameB,StreetNameC,StreetNumberD,PostalCodeE,CityE,Canada,ProvinceC
